epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1819.23,1.47276,0.96768,1.55248,0.74173,0.70406,0.75581,0.3472,2.01477,1.2472,1.83571,0.00029705,0.00029705,0.00029705
43,1861.42,1.47066,0.97454,1.56027,0.85823,0.87666,0.89816,0.47251,1.74406,0.82111,1.65239,0.0002921,0.0002921,0.0002921
44,1903.91,1.45407,0.94619,1.5381,0.85494,0.90504,0.9078,0.47773,1.74458,0.7925,1.65383,0.00028715,0.00028715,0.00028715
45,1947.14,1.44295,0.93384,1.52122,0.86097,0.89548,0.90799,0.49267,1.71476,0.7884,1.6294,0.0002822,0.0002822,0.0002822
46,1991.16,1.46251,0.94766,1.53923,0.85784,0.88908,0.9033,0.48582,1.71042,0.79662,1.6311,0.00027725,0.00027725,0.00027725
47,2034.12,1.43969,0.94571,1.53443,0.84539,0.84206,0.87555,0.44003,1.8406,0.90978,1.72631,0.0002723,0.0002723,0.0002723
48,2077.29,1.45351,0.93033,1.53997,0.84884,0.91165,0.91456,0.49077,1.7077,0.78525,1.62947,0.00026735,0.00026735,0.00026735
49,2120.44,1.43541,0.90631,1.52342,0.85632,0.89041,0.89908,0.4787,1.75184,0.81765,1.65639,0.0002624,0.0002624,0.0002624
50,2163.52,1.42659,0.9218,1.53828,0.86323,0.90174,0.91539,0.48606,1.71789,0.7903,1.63924,0.00025745,0.00025745,0.00025745
51,2206.71,1.40835,0.89747,1.51474,0.87028,0.89096,0.91533,0.49671,1.74475,0.78368,1.65594,0.0002525,0.0002525,0.0002525
52,2250.95,1.41232,0.89555,1.51434,0.88396,0.8836,0.91133,0.48214,1.68576,0.77828,1.60767,0.00024755,0.00024755,0.00024755
53,2294.28,1.4111,0.90264,1.50108,0.88802,0.91026,0.91696,0.48561,1.73238,0.76193,1.64626,0.0002426,0.0002426,0.0002426
54,2337.24,1.40873,0.8838,1.49558,0.86761,0.91248,0.91653,0.49088,1.6859,0.74603,1.60813,0.00023765,0.00023765,0.00023765
55,2380.69,1.40412,0.88135,1.50924,0.83063,0.72274,0.77357,0.39249,1.85,1.24723,1.68826,0.0002327,0.0002327,0.0002327
56,2424.47,1.41892,0.89446,1.51369,0.89294,0.90791,0.9227,0.49572,1.68793,0.75609,1.61508,0.00022775,0.00022775,0.00022775
57,2468.74,1.3904,0.87046,1.48762,0.82316,0.79807,0.84372,0.43172,1.86315,1.04915,1.73614,0.0002228,0.0002228,0.0002228
58,2511.84,1.40446,0.88217,1.50888,0.84999,0.91836,0.91391,0.50027,1.67627,0.75749,1.60633,0.00021785,0.00021785,0.00021785
59,2556.49,1.37662,0.86658,1.4831,0.89431,0.90689,0.92725,0.49053,1.72797,0.748,1.62552,0.0002129,0.0002129,0.0002129
60,2599.81,1.35482,0.86475,1.48402,0.8685,0.9191,0.91855,0.50774,1.6637,0.73641,1.61649,0.00020795,0.00020795,0.00020795
61,2644.26,1.3878,0.86566,1.48067,0.87179,0.81559,0.86671,0.45733,1.77496,1.01416,1.674,0.000203,0.000203,0.000203
62,2688.01,1.37651,0.84844,1.47223,0.8698,0.89401,0.91147,0.4956,1.67961,0.77863,1.61243,0.00019805,0.00019805,0.00019805
63,2731.85,1.35952,0.82377,1.45556,0.8565,0.90765,0.91281,0.50286,1.64317,0.75809,1.59757,0.0001931,0.0001931,0.0001931
64,2775.13,1.3516,0.83572,1.45913,0.87076,0.91815,0.91841,0.51294,1.63759,0.73902,1.5817,0.00018815,0.00018815,0.00018815
65,2819.6,1.34538,0.82738,1.45591,0.86787,0.92616,0.9246,0.51069,1.65056,0.71507,1.59523,0.0001832,0.0001832,0.0001832
66,2862.86,1.35659,0.83227,1.47281,0.87946,0.91784,0.92164,0.51574,1.60445,0.70985,1.56701,0.00017825,0.00017825,0.00017825
67,2907.15,1.36309,0.84087,1.46084,0.88005,0.91788,0.92232,0.5238,1.58138,0.71589,1.55381,0.0001733,0.0001733,0.0001733
68,2951.56,1.32697,0.81436,1.45421,0.8872,0.89699,0.92094,0.52126,1.59865,0.74231,1.55055,0.00016835,0.00016835,0.00016835
69,2994.43,1.36248,0.83411,1.46367,0.87923,0.90235,0.91781,0.51244,1.63662,0.75752,1.58871,0.0001634,0.0001634,0.0001634
70,3037.75,1.33863,0.81541,1.4593,0.87913,0.88372,0.91319,0.50753,1.67249,0.76632,1.59723,0.00015845,0.00015845,0.00015845
71,3080.63,1.33564,0.82384,1.46459,0.87283,0.92643,0.92478,0.51962,1.65826,0.69956,1.59607,0.0001535,0.0001535,0.0001535
72,3123.17,1.32133,0.81111,1.44203,0.86923,0.92683,0.92331,0.52577,1.57422,0.68607,1.53562,0.00014855,0.00014855,0.00014855
73,3167.65,1.31128,0.78055,1.42783,0.87682,0.9157,0.91863,0.52511,1.60741,0.72448,1.56591,0.0001436,0.0001436,0.0001436
74,3211.2,1.30998,0.79182,1.43119,0.89669,0.9169,0.92804,0.51761,1.62643,0.6862,1.56388,0.00013865,0.00013865,0.00013865
75,3254.34,1.3189,0.80296,1.44999,0.88201,0.92192,0.92835,0.50823,1.62536,0.68789,1.58148,0.0001337,0.0001337,0.0001337
76,3297.32,1.30874,0.78003,1.42834,0.88216,0.91817,0.92729,0.53214,1.56812,0.65631,1.53099,0.00012875,0.00012875,0.00012875
77,3341.4,1.31167,0.78231,1.4342,0.89392,0.92013,0.92781,0.53037,1.56618,0.676,1.54018,0.0001238,0.0001238,0.0001238
78,3384.34,1.3015,0.7859,1.42165,0.88471,0.92129,0.92622,0.52873,1.58603,0.67919,1.54702,0.00011885,0.00011885,0.00011885
79,3427.28,1.29924,0.76705,1.41351,0.88447,0.92784,0.9298,0.53234,1.61088,0.67448,1.55927,0.0001139,0.0001139,0.0001139
80,3472.6,1.29661,0.77427,1.43472,0.90318,0.92332,0.93051,0.53787,1.56617,0.66634,1.53291,0.00010895,0.00010895,0.00010895
81,3517.19,1.28508,0.76033,1.42532,0.90065,0.92825,0.93511,0.54014,1.5652,0.66053,1.52872,0.000104,0.000104,0.000104
82,3561.51,1.2815,0.75861,1.41178,0.89212,0.92449,0.92895,0.53681,1.55877,0.66652,1.52528,9.905e-05,9.905e-05,9.905e-05
83,3604.64,1.27121,0.77218,1.42404,0.8783,0.92651,0.92538,0.53094,1.54328,0.66796,1.52317,9.41e-05,9.41e-05,9.41e-05
84,3647.86,1.28239,0.75252,1.40741,0.88382,0.93513,0.93098,0.5424,1.52449,0.65344,1.50508,8.915e-05,8.915e-05,8.915e-05
85,3692.37,1.27329,0.75392,1.40925,0.8845,0.92563,0.93074,0.54603,1.53036,0.66055,1.50334,8.42e-05,8.42e-05,8.42e-05
86,3737.81,1.26683,0.75495,1.40823,0.89743,0.92831,0.93132,0.53582,1.5539,0.65501,1.51871,7.925e-05,7.925e-05,7.925e-05
87,3782.2,1.25794,0.73776,1.38415,0.89882,0.93154,0.935,0.52865,1.57671,0.66003,1.5341,7.43e-05,7.43e-05,7.43e-05
88,3826.18,1.26507,0.74974,1.4105,0.89889,0.89173,0.91981,0.52736,1.58529,0.723,1.53586,6.935e-05,6.935e-05,6.935e-05
89,3869.75,1.25653,0.73888,1.38634,0.89809,0.92749,0.93442,0.53614,1.54836,0.6586,1.51291,6.44e-05,6.44e-05,6.44e-05
90,3913.41,1.26397,0.74787,1.40118,0.90056,0.92302,0.93482,0.53966,1.54044,0.65133,1.51271,5.945e-05,5.945e-05,5.945e-05
91,3957.35,1.22044,0.62539,1.46705,0.91195,0.92215,0.93536,0.49978,1.68925,0.66934,1.60533,5.45e-05,5.45e-05,5.45e-05
92,3999.25,1.19782,0.59776,1.43531,0.91514,0.93022,0.93723,0.52739,1.59653,0.65794,1.54197,4.955e-05,4.955e-05,4.955e-05
93,4041.22,1.1781,0.59267,1.42924,0.91067,0.92871,0.93895,0.52594,1.61997,0.65946,1.56174,4.46e-05,4.46e-05,4.46e-05
94,4082.99,1.16431,0.57994,1.42237,0.92299,0.92472,0.94238,0.52653,1.61759,0.64619,1.5559,3.965e-05,3.965e-05,3.965e-05
95,4124.98,1.15745,0.56666,1.40186,0.92114,0.92753,0.93992,0.53114,1.60025,0.64224,1.54069,3.47e-05,3.47e-05,3.47e-05
96,4166.74,1.16428,0.56544,1.41981,0.92367,0.92926,0.94226,0.52128,1.62875,0.64363,1.56187,2.975e-05,2.975e-05,2.975e-05
97,4208.68,1.14292,0.56314,1.40065,0.92391,0.92706,0.94049,0.53285,1.59814,0.63992,1.54083,2.48e-05,2.48e-05,2.48e-05
98,4250.84,1.14094,0.56755,1.40668,0.9281,0.92837,0.94336,0.53278,1.5987,0.64236,1.54041,1.985e-05,1.985e-05,1.985e-05
99,4292.9,1.14334,0.56553,1.38648,0.92177,0.93237,0.94354,0.53459,1.59336,0.63727,1.53461,1.49e-05,1.49e-05,1.49e-05
100,4335.02,1.12843,0.55447,1.37863,0.9197,0.92882,0.94228,0.53869,1.5844,0.63597,1.5299,9.95e-06,9.95e-06,9.95e-06
