epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2335.3,1.43239,0.88722,1.54211,0.84663,0.88426,0.89729,0.47348,1.69834,0.82678,1.64919,0.00029705,0.00029705,0.00029705
43,2379.18,1.42425,0.89388,1.54372,0.87412,0.9143,0.91455,0.51228,1.62266,0.73106,1.59053,0.0002921,0.0002921,0.0002921
44,2424.45,1.41485,0.86238,1.52438,0.8684,0.91235,0.90766,0.49491,1.66701,0.77501,1.6117,0.00028715,0.00028715,0.00028715
45,2469.42,1.41467,0.85887,1.52014,0.87924,0.91591,0.91342,0.49925,1.65308,0.76735,1.61605,0.0002822,0.0002822,0.0002822
46,2514.11,1.41693,0.87627,1.52499,0.89199,0.8803,0.90852,0.49735,1.65992,0.76878,1.61612,0.00027725,0.00027725,0.00027725
47,2557.79,1.41275,0.86437,1.53066,0.88448,0.8977,0.91303,0.48082,1.69835,0.76767,1.6326,0.0002723,0.0002723,0.0002723
48,2601.63,1.42487,0.86071,1.52829,0.87602,0.90324,0.92131,0.49109,1.66322,0.79414,1.62011,0.00026735,0.00026735,0.00026735
49,2645.4,1.39941,0.83325,1.51309,0.86718,0.89741,0.9114,0.49554,1.64387,0.7527,1.59037,0.0002624,0.0002624,0.0002624
50,2689.01,1.38102,0.84589,1.52231,0.87887,0.90328,0.92217,0.50969,1.63026,0.75427,1.58416,0.00025745,0.00025745,0.00025745
51,2732.79,1.37159,0.82453,1.49523,0.88524,0.89778,0.91735,0.50788,1.63065,0.75639,1.59064,0.0002525,0.0002525,0.0002525
52,2776.94,1.37347,0.8255,1.50291,0.84801,0.89158,0.90758,0.48149,1.68204,0.78684,1.61939,0.00024755,0.00024755,0.00024755
53,2820.93,1.37491,0.82631,1.49341,0.87813,0.90645,0.91434,0.49281,1.65752,0.76677,1.60179,0.0002426,0.0002426,0.0002426
54,2864.41,1.36863,0.81226,1.48317,0.86874,0.91274,0.92356,0.52137,1.5954,0.71343,1.56422,0.00023765,0.00023765,0.00023765
55,2909.68,1.35979,0.81042,1.49548,0.901,0.90419,0.92272,0.52592,1.57393,0.71044,1.54832,0.0002327,0.0002327,0.0002327
56,2954.56,1.37474,0.82406,1.49284,0.8815,0.90311,0.92252,0.515,1.59816,0.72045,1.563,0.00022775,0.00022775,0.00022775
57,2997.49,1.34471,0.79523,1.46732,0.88802,0.90181,0.92288,0.51435,1.60541,0.71905,1.57419,0.0002228,0.0002228,0.0002228
58,3040.99,1.36699,0.81495,1.4975,0.85968,0.90142,0.90465,0.50516,1.62032,0.72931,1.57746,0.00021785,0.00021785,0.00021785
59,3084.96,1.3363,0.79957,1.47566,0.90604,0.92893,0.93272,0.53479,1.55664,0.68798,1.54355,0.0002129,0.0002129,0.0002129
60,3129.77,1.31655,0.79392,1.47652,0.8855,0.90822,0.91865,0.51419,1.6023,0.7051,1.56332,0.00020795,0.00020795,0.00020795
61,3173.49,1.34291,0.78821,1.46522,0.87459,0.92024,0.91935,0.51566,1.6195,0.70664,1.58112,0.000203,0.000203,0.000203
62,3217.19,1.34208,0.79139,1.46001,0.88603,0.9087,0.92027,0.52412,1.58051,0.70019,1.54694,0.00019805,0.00019805,0.00019805
63,3260.52,1.31193,0.75698,1.43832,0.88243,0.90452,0.92253,0.52441,1.5913,0.70709,1.55927,0.0001931,0.0001931,0.0001931
64,3304.16,1.31882,0.76601,1.45211,0.88289,0.90349,0.92286,0.5433,1.5524,0.68575,1.52851,0.00018815,0.00018815,0.00018815
65,3348.42,1.30706,0.76255,1.44625,0.88176,0.91389,0.92173,0.53743,1.56509,0.68638,1.54871,0.0001832,0.0001832,0.0001832
66,3391.09,1.30825,0.75703,1.45342,0.88295,0.90557,0.91846,0.51334,1.61293,0.70648,1.58127,0.00017825,0.00017825,0.00017825
67,3433.33,1.31317,0.75999,1.44376,0.88842,0.90855,0.92332,0.51904,1.59784,0.70113,1.55743,0.0001733,0.0001733,0.0001733
68,3476.51,1.29001,0.75132,1.43978,0.89066,0.91765,0.9294,0.54052,1.54349,0.67883,1.52634,0.00016835,0.00016835,0.00016835
69,3519.85,1.32478,0.75782,1.45698,0.89771,0.9119,0.92653,0.53759,1.55535,0.69312,1.53337,0.0001634,0.0001634,0.0001634
70,3562.31,1.29548,0.74877,1.44826,0.90423,0.91821,0.93305,0.54391,1.56078,0.69338,1.53558,0.00015845,0.00015845,0.00015845
