epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1875.47,1.4433,0.89351,1.51219,0.87086,0.88551,0.90111,0.49113,1.68943,0.79318,1.63113,0.00029705,0.00029705,0.00029705
43,1919.06,1.42282,0.90092,1.52567,0.88216,0.89903,0.91474,0.49814,1.68696,0.78801,1.62632,0.0002921,0.0002921,0.0002921
44,1964.16,1.42457,0.88531,1.50448,0.86637,0.89991,0.91532,0.48811,1.72587,0.76954,1.62901,0.00028715,0.00028715,0.00028715
45,2008.04,1.44099,0.88407,1.51086,0.83379,0.86328,0.89206,0.46455,1.77034,0.84416,1.67391,0.0002822,0.0002822,0.0002822
46,2051.48,1.41898,0.8803,1.50571,0.87531,0.8966,0.9144,0.494,1.65853,0.77955,1.60258,0.00027725,0.00027725,0.00027725
47,2095.99,1.39846,0.88109,1.50194,0.89173,0.91483,0.92359,0.50751,1.69777,0.76135,1.63444,0.0002723,0.0002723,0.0002723
48,2140.68,1.40762,0.87535,1.49938,0.89359,0.88574,0.91082,0.4844,1.69569,0.82065,1.6327,0.00026735,0.00026735,0.00026735
49,2183.86,1.40248,0.85863,1.49923,0.87618,0.90469,0.91532,0.50377,1.66921,0.76702,1.61117,0.0002624,0.0002624,0.0002624
50,2228.07,1.38639,0.85748,1.5036,0.89135,0.89566,0.91833,0.51456,1.64568,0.76036,1.60565,0.00025745,0.00025745,0.00025745
51,2272.95,1.38302,0.84908,1.492,0.87285,0.89831,0.91333,0.49474,1.70434,0.76638,1.61742,0.0002525,0.0002525,0.0002525
52,2316.29,1.36121,0.82415,1.47155,0.89423,0.90692,0.92602,0.51372,1.63104,0.7338,1.58798,0.00024755,0.00024755,0.00024755
53,2361.83,1.37032,0.82357,1.46998,0.88634,0.92211,0.92899,0.52096,1.641,0.73076,1.60357,0.0002426,0.0002426,0.0002426
54,2406.71,1.36822,0.82455,1.4686,0.89035,0.90917,0.92345,0.51482,1.62146,0.71987,1.5619,0.00023765,0.00023765,0.00023765
55,2450.5,1.37305,0.82849,1.48499,0.88318,0.91746,0.92756,0.52401,1.60981,0.71846,1.57389,0.0002327,0.0002327,0.0002327
56,2495.56,1.37522,0.84127,1.48593,0.90402,0.8912,0.92395,0.52038,1.63827,0.74963,1.59706,0.00022775,0.00022775,0.00022775
57,2540.24,1.34419,0.80833,1.44482,0.89037,0.91745,0.93152,0.5216,1.64356,0.7308,1.59105,0.0002228,0.0002228,0.0002228
58,2585.87,1.37767,0.832,1.48574,0.88046,0.8989,0.90819,0.49869,1.63689,0.74148,1.57684,0.00021785,0.00021785,0.00021785
59,2630.95,1.32846,0.80894,1.45239,0.91229,0.90906,0.93276,0.52779,1.5936,0.69209,1.54638,0.0002129,0.0002129,0.0002129
60,2678.67,1.34375,0.81622,1.46126,0.90983,0.91772,0.93361,0.53824,1.5793,0.68509,1.54091,0.00020795,0.00020795,0.00020795
61,2724.63,1.34787,0.79474,1.45234,0.90617,0.91351,0.93352,0.5295,1.59882,0.69009,1.5597,0.000203,0.000203,0.000203
62,2768.8,1.33338,0.80845,1.44052,0.9011,0.92023,0.93409,0.54083,1.55773,0.69353,1.5152,0.00019805,0.00019805,0.00019805
63,2813.96,1.33028,0.77278,1.43599,0.90751,0.90815,0.93188,0.53863,1.56799,0.69009,1.53771,0.0001931,0.0001931,0.0001931
64,2858.47,1.33076,0.79044,1.43434,0.8974,0.91585,0.93394,0.54738,1.5377,0.67821,1.51343,0.00018815,0.00018815,0.00018815
65,2903.99,1.30228,0.76435,1.41707,0.90311,0.92098,0.93638,0.53734,1.5753,0.68621,1.5363,0.0001832,0.0001832,0.0001832
66,2948.4,1.29943,0.76624,1.43048,0.90099,0.91108,0.93356,0.52551,1.58544,0.70606,1.53551,0.00017825,0.00017825,0.00017825
