epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2215.56,1.43228,0.88534,1.53861,0.85594,0.88173,0.89861,0.47939,1.6695,0.81091,1.61845,0.00029705,0.00029705,0.00029705
43,2260.15,1.42542,0.90357,1.53984,0.87228,0.91024,0.91157,0.50102,1.65034,0.75994,1.60886,0.0002921,0.0002921,0.0002921
44,2306.17,1.42286,0.87739,1.52616,0.86465,0.91527,0.90957,0.49167,1.71277,0.77109,1.65878,0.00028715,0.00028715,0.00028715
45,2351.02,1.40869,0.86013,1.51303,0.85224,0.88943,0.90696,0.48295,1.66859,0.80023,1.61827,0.0002822,0.0002822,0.0002822
46,2396.24,1.40916,0.87419,1.51785,0.85568,0.90841,0.91789,0.50633,1.67716,0.75074,1.63643,0.00027725,0.00027725,0.00027725
47,2442.76,1.40701,0.86743,1.51916,0.877,0.91014,0.92051,0.50213,1.62611,0.76383,1.596,0.0002723,0.0002723,0.0002723
48,2488.09,1.41703,0.85775,1.52186,0.89185,0.91026,0.9279,0.50708,1.62717,0.76166,1.58167,0.00026735,0.00026735,0.00026735
49,2534.66,1.41614,0.84058,1.51901,0.88681,0.88388,0.91251,0.4885,1.68375,0.78258,1.6234,0.0002624,0.0002624,0.0002624
50,2579.75,1.38394,0.83904,1.51857,0.90917,0.90085,0.9256,0.51727,1.60281,0.73714,1.56983,0.00025745,0.00025745,0.00025745
51,2627.86,1.37198,0.82952,1.49121,0.89853,0.90316,0.92613,0.50929,1.62117,0.7525,1.58434,0.0002525,0.0002525,0.0002525
52,2672.9,1.37901,0.82594,1.50175,0.8781,0.90102,0.92026,0.51096,1.59846,0.73446,1.57106,0.00024755,0.00024755,0.00024755
53,2718.49,1.37266,0.82428,1.49088,0.89016,0.91258,0.91986,0.51669,1.57335,0.77037,1.55836,0.0002426,0.0002426,0.0002426
54,2766,1.3784,0.81927,1.48548,0.89849,0.91403,0.93195,0.51938,1.57085,0.7131,1.55183,0.00023765,0.00023765,0.00023765
55,2812.64,1.36811,0.8153,1.49504,0.90241,0.90918,0.92618,0.52933,1.56994,0.71987,1.56521,0.0002327,0.0002327,0.0002327
56,2859.15,1.37076,0.8238,1.49138,0.89405,0.91202,0.92481,0.52618,1.57892,0.70529,1.5584,0.00022775,0.00022775,0.00022775
57,2905.66,1.34322,0.79979,1.46506,0.88755,0.91545,0.91955,0.5241,1.5644,0.69827,1.55514,0.0002228,0.0002228,0.0002228
58,2951.73,1.35474,0.81022,1.48569,0.88355,0.91617,0.92243,0.51917,1.57275,0.7022,1.54759,0.00021785,0.00021785,0.00021785
